ano,sigla_uf,rede,taxa_alfabetizacao,media_portugues
2023,AM,Municipal,49.2,733.6637
2023,PB,Estadual,55.23,744.8152
2023,PR,Privada,73.12,757.2146
2023,AP,Municipal,41.87,732.7858
2023,PE,Privada,58.95,747.4522
2023,MA,Municipal,56.39,749.8729
2023,MT,Estadual,48.02,738.0
2023,CE,Municipal,84.49,795.7293
2023,AL,Privada,43.88,729.7227
2023,CE,Estadual,78.75,785.1658
2023,MS,Municipal,47.53,736.0729
2023,PI,Estadual,48.27,739.785
2023,SP,Privada,51.91,740.387
2023,SC,Municipal,62.04,747.7686
2023,AM,Privada,52.2,736.4687
2023,MA,Privada,56.43,749.9153
2023,PA,Estadual,57.07,741.3548
2023,SE,Privada,31.3,713.1336
2023,RS,Estadual,63.18,747.6082
2023,MT,Municipal,55.43,747.32
2023,GO,Municipal,66.72,752.1315
2023,PA,Municipal,47.71,732.6697
2023,AL,Estadual,38.65,724.7993
2023,RO,Privada,64.6,759.4357
2023,PA,Privada,48.38,733.2877
2023,SP,Municipal,51.28,739.4069
2023,PB,Privada,51.12,741.6011
2023,SE,Estadual,35.31,716.29
2023,MS,Estadual,42.9,729.3908
2023,MT,Privada,55.03,746.8
2023,RS,Privada,63.43,747.3933
2023,MA,Estadual,72.38,768.0339
2023,BA,Estadual,42.83,731.9768
2023,RN,Municipal,36.39,723.8538
2023,PE,Municipal,58.91,747.4203
2023,MG,Estadual,63.65,756.3436
2023,SC,Privada,61.38,747.1144
2023,AM,Estadual,62.63,746.2058
2023,TO,Municipal,43.72,734.2853
2023,SE,Municipal,30.57,712.562
2023,AP,Estadual,40.7,731.4349
2023,PI,Municipal,52.5,744.6791
2023,CE,Privada,84.46,795.675
2023,BA,Privada,36.78,724.8617
2023,RJ,Municipal,52.13,737.3032
2023,RO,Municipal,65.17,760.1971
2023,BA,Municipal,36.77,724.8489
2023,RJ,Privada,52.13,737.3032
2023,ES,Municipal,67.52,753.1398
2023,SC,Estadual,59.29,745.0389
2023,RO,Estadual,58.65,751.4731
2023,PI,Privada,52.48,744.6583
2023,ES,Privada,67.93,753.7213
2023,SP,Estadual,53.8,743.3046
2023,AP,Privada,41.56,732.4277
2023,RN,Privada,37.24,724.8933
2023,PB,Municipal,50.92,741.4419
2023,ES,Estadual,74.58,763.1214
2023,GO,Privada,66.74,752.1505
2023,TO,Privada,43.72,734.2853
2023,RN,Estadual,41.49,730.0875
2023,PR,Municipal,73.11,757.1952
2023,MS,Privada,47.45,735.952
2023,PE,Estadual,79.25,763.6886
2023,MG,Municipal,58.74,750.4243
2023,RS,Municipal,63.55,747.2954
2023,PR,Estadual,80.29,770.8324
2023,GO,Estadual,76.59,763.6724
2023,AL,Municipal,44.13,729.9581
2023,MG,Privada,59.81,751.7099
2024,RJ,Estadual,80.09,759.27
2024,GO,Estadual,83.66,766.45
2024,ES,Estadual,86.21,773.03
2024,PI,Estadual,73.95,765.37
2024,PE,Estadual,71.77,760.74
2024,CE,Municipal,85.35,797.34
2024,CE,Privada,85.31,797.29
2024,MG,Estadual,74.47,761.3
2024,ES,Privada,71.69,758.52
2024,ES,Municipal,70.9,757.73
2024,PR,Estadual,62.01,746.7
2024,RO,Estadual,63.47,747.36
2024,MG,Privada,72.07,758.22
2024,MA,Estadual,77.57,768.98
2024,GO,Municipal,72.73,759.01
2024,GO,Privada,72.74,759.01
2024,PR,Municipal,70.43,754.68
2024,PR,Privada,70.42,754.66
2024,MG,Municipal,71.45,757.41
2024,PI,Privada,59.82,754.81
2024,PI,Municipal,59.76,754.77
2024,CE,Estadual,78.36,788.58
2024,MT,Municipal,61.03,753.8
2024,MT,Privada,60.59,753.3
2024,SP,Estadual,65.84,759.5751
2024,RO,Privada,62.62,745.52
2024,RO,Municipal,62.56,745.38
2024,PB,Municipal,56.01,750.88
2024,PB,Privada,55.96,750.7
2024,TO,Privada,50.07,742.86
2024,TO,Municipal,50.07,742.86
2024,MA,Municipal,59.61,745.7
2024,MA,Privada,59.64,745.75
2024,PE,Privada,60.79,747.31
2024,PE,Municipal,60.76,747.28
2024,AM,Estadual,58.18,741.79
2024,BA,Municipal,35.96,725.59
2024,BA,Privada,35.96,725.58
2024,AP,Municipal,49.28,743.38
2024,BA,Estadual,34.46,723.06
2024,SP,Privada,58.13,749.8962
2024,AM,Privada,49.17,734.12
2024,SC,Municipal,62.87,751.14
2024,PA,Estadual,56.96,740.76
2024,MT,Estadual,46.75,737.87
2024,PB,Estadual,54.97,747.39
2024,AP,Privada,46.62,739.83
2024,SP,Municipal,55.71,746.8603
2024,AM,Municipal,46.47,731.82
2024,SC,Privada,62.02,750.1
2024,RJ,Privada,55.25,738.9
2024,RJ,Municipal,55.22,738.87
2024,MS,Municipal,56.02,741.15
2024,MS,Privada,55.87,740.99
2024,AC,Estadual,55.5,743.17
2024,PA,Privada,48.2,732.94
2024,RS,Estadual,45.63,734.967
2024,PA,Municipal,47.58,732.39
2024,RS,Privada,44.67,734.2547
2024,RS,Municipal,44.23,733.9263
2024,RN,Estadual,45.33,736.63
2024,SC,Estadual,59.29,746.78
2024,AP,Estadual,39.56,730.4
2024,MS,Estadual,48.33,733.25
2024,AC,Privada,51.38,739.15
2024,RN,Privada,39.29,730.44
2024,RN,Municipal,38.16,729.28
2024,AL,Municipal,49.05,735.94
2024,AL,Privada,48.63,735.51
2024,AC,Municipal,48.16,736.01
2024,AL,Estadual,39.92,726.39
2024,SE,Estadual,40.94,726.88
2024,SE,Privada,38.39,723.56
2024,SE,Municipal,38.05,723.11
